module,n_concepts,alpha_semantic_isa,coverage_pct,alpha_nominal,alpha_semantic_full,diff_isa_vs_standard,diff_isa_vs_full
Modul 10,16,0.08033291753877847,100.0,0.0466666666666666,-0.0207841815526343,0.03366625087211187,0.10111709909141277
Modul 11,15,0.26739591548006925,100.0,0.3546344271732873,0.5765508890820141,-0.08723851169321806,-0.3091549736019449
Modul 12,8,0.2949834188695445,100.0,0.4042056074766355,0.2796610169491526,-0.10922218860709099,0.015322401920391915
Modul 13,92,0.8778799660115447,100.0,0.7792860159663225,0.9250483468498796,0.0985939500452222,-0.047168380838334856
Modul 14,201,0.8591665939117391,100.0,0.6857768540417433,0.8948178406179995,0.17338973986999584,-0.03565124670626041
Modul 15,13,0.6457638005516443,100.0,0.8163265306122449,0.7171263630532392,-0.17056273006060063,-0.0713625625015949
Modul 16,41,0.6935235166128737,100.0,0.5972197522081926,0.7237211280363198,0.09630376440468114,-0.030197611423446125
Modul 17,40,0.4553904975218942,100.0,0.501909237773535,0.5092695781687917,-0.04651874025164082,-0.053879080646897504
Modul 18,8,0.9920042643923241,100.0,0.8648648648648649,0.9912126537785588,0.12713939952745923,0.0007916106137653145
Modul 19,22,0.9905491478887467,100.0,0.9304535637149028,0.9915446755964444,0.06009558417384386,-0.0009955277076977298
Modul 20,8,0.8320323014804846,100.0,0.9094202898550724,0.868421052631579,-0.07738798837458782,-0.03638875115109441
Modul 21,1,-0.020408163265306145,100.0,0.0,0.0,-0.020408163265306145,-0.020408163265306145
Modul 22,1,,100.0,,,,
Modul 23,13,0.6723134568089715,100.0,0.5379876796714578,0.7299398194583752,0.1343257771375137,-0.057626362649403684
Modul 24,6,0.4723265426011791,100.0,0.5882352941176472,0.4059889997962925,-0.11590875151646807,0.06633754280488663
Modul 25,8,0.4075722111366895,100.0,0.4299719887955181,0.4247612392266481,-0.022399777658828612,-0.01718902808995859
Modul 5,27,0.6624992032566974,100.0,0.6133455210237659,0.7417295737122558,0.049153682232931484,-0.07923037045555836
Modul 6,25,0.4428193519758309,100.0,0.513737173121483,0.4851034796452126,-0.07091782114565215,-0.04228412766938172
Modul 9,4,0.6342245989304813,100.0,0.8035714285714286,0.7006048387096775,-0.16934682964094727,-0.06638023977919616
