module,n_concepts,alpha_semantic,coverage_pct
Modul 10,16,-0.020784181552634395,100.0
Modul 11,15,0.5765508890820141,100.0
Modul 12,8,0.2796610169491526,100.0
Modul 13,92,0.9250483468498797,100.0
Modul 14,201,0.8948178406179995,100.0
Modul 15,13,0.7171263630532392,100.0
Modul 16,41,0.7237211280363198,100.0
Modul 17,40,0.5092695781687917,100.0
Modul 18,8,0.9912126537785588,100.0
Modul 19,22,0.9915446755964444,100.0
Modul 20,8,0.868421052631579,100.0
Modul 21,1,0.0,100.0
Modul 22,1,,100.0
Modul 23,13,0.7299398194583752,100.0
Modul 24,6,0.40598899979629255,100.0
Modul 25,8,0.4247612392266481,100.0
Modul 5,27,0.7417295737122558,100.0
Modul 6,25,0.4851034796452126,100.0
Modul 9,4,0.7006048387096775,100.0
